time,station,land,year,month
1931.46,-0.08,-0.08,1931,6
1931.54,0.08,-0.04,1931,7
1931.63,0.08,-0.04,1931,8
1931.71,-0.17,-0.07,1931,9
1931.79,0.13,0.05,1931,10
1931.88,-0.02,-0.06,1931,11
1931.96,0.14,-0.05,1931,12
1932.04,0.34,0.16,1932,1
1932.13,-0.25,-0.17,1932,2
1932.21,-0.2,-0.18,1932,3
1932.29,0.06,-0.06,1932,4
1932.38,-0.14,-0.17,1932,5
1932.46,-0.42,-0.29,1932,6
1932.54,-0.21,-0.25,1932,7
1932.63,-0.15,-0.22,1932,8
1932.71,0.08,-0.1,1932,9
1932.79,0.13,-0.09,1932,10
1932.88,-0.08,-0.27,1932,11
1932.96,-0.13,-0.26,1932,12
1933.04,-0.19,-0.23,1933,1
1933.13,-0.19,-0.29,1933,2
1933.21,-0.21,-0.29,1933,3
1933.29,-0.15,-0.24,1933,4
1933.38,-0.11,-0.29,1933,5
1933.46,-0.27,-0.34,1933,6
1933.54,-0.12,-0.21,1933,7
1933.63,-0.16,-0.24,1933,8
1933.71,-0.11,-0.29,1933,9
1933.79,-0.11,-0.24,1933,10
1933.88,-0.36,-0.3,1933,11
1933.96,-0.45,-0.44,1933,12
1934.04,-0.09,-0.2,1934,1
1934.13,-0.04,-0.02,1934,2
1934.21,-0.29,-0.29,1934,3
1934.29,-0.29,-0.3,1934,4
1934.38,0.02,-0.09,1934,5
1934.46,-0.17,-0.15,1934,6
1934.54,-0.02,-0.1,1934,7
1934.63,0.04,-0.12,1934,8
1934.71,-0.02,-0.15,1934,9
1934.79,-0.01,-0.06,1934,10
1934.88,0.11,0.04,1934,11
1934.96,0.18,-0.02,1934,12
1935.04,-0.28,-0.34,1935,1
1935.13,0.28,0.14,1935,2
1935.21,0.03,-0.14,1935,3
1935.29,-0.43,-0.37,1935,4
1935.38,-0.31,-0.29,1935,5
1935.46,-0.16,-0.27,1935,6
1935.54,-0.23,-0.21,1935,7
1935.63,-0.21,-0.22,1935,8
1935.71,-0.36,-0.21,1935,9
1935.79,0.01,-0.06,1935,10
1935.88,-0.28,-0.26,1935,11
1935.96,-0.09,-0.16,1935,12
1936.04,-0.25,-0.27,1936,1
1936.13,-0.37,-0.37,1936,2
1936.21,-0.13,-0.2,1936,3
1936.29,0.01,-0.2,1936,4
1936.38,-0.23,-0.16,1936,5
1936.46,-0.17,-0.22,1936,6
1936.54,0.18,-0.09,1936,7
1936.63,0.05,-0.13,1936,8
1936.71,0.02,-0.09,1936,9
1936.79,0.05,-0.02,1936,10
1936.88,0.12,0.02,1936,11
1936.96,0.12,0.0,1936,12
1937.04,-0.02,-0.07,1937,1
1937.13,0.08,0.03,1937,2
